bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
a_Arthur_H__Stone,Q3709232,,,homepages/179/6693,1,,,,,,,
a_Nikolay_A__Krasovskii,Q3710069,,,homepages/221/4026,1,,,,,,,
a_Eugenio_O_ntilde_ate,Q3816794,,,homepages/99/1713,1,,,,,,,
a_A__D__Gadjiev,Q4131508,,,homepages/59/6236,1,,,,,,,
a_Naum_Krupnik,Q4242237,,,homepages/195/4999,1,,,,,,,
a_Victor_Latyshev,Q4255064,,,homepages/81/1720,1,,,,,,,
a_Dmitry_A__Novikov,Q4322665,,,homepages/147/6718,1,,,,,,,
a_Daina_Taimina,Q4449893,,,homepages/69/2718,1,,,,,,,
a_Ragni_Piene,Q4567235,,,homepages/06/8583,1,,,,,,,
a_Amit_P__Sheth,Q4746879,Q47697386,,homepages/s/AmitPSheth,1,,,,,,,
a_Anatoly_A__Zhigljavsky,Q4752236,Q59849369,,homepages/60/5453,1,,,,,,,
a_Ann_Rockley,Q4766648,,,homepages/60/5862,1,,,,,,,
a_Anuska_Ferligoj,Q4777963,,,homepages/20/5312,1,,,,,,,
